四字熟語,読み,簡単な意味,動物
意馬心猿,いばしんえん,欲望や感情が抑えられず落ち着かない,馬
駟馬高車,しばこうしゃ,立派な車馬・贅沢な乗り物,馬
千軍万馬,せんぐんまんば,多くの戦いを経験したこと,馬
走馬看花,そうばかんか,物事を表面だけ見て通り過ぎる,馬
走馬灯火,そうまとうか,めまぐるしく変わる様子,馬
馬耳東風,ばじとうふう,人の忠告を聞き流す,馬
馬脚顕露,ばきゃくけんろ,隠していた本性・正体が現れる,馬
馬食牛飲,ばしょくぎゅういん,非常に食べ飲みすること,馬
馬前之卒,ばぜんのそつ,大した能力のない兵卒・一般の者,馬
馬入之病,ばにゅうのやまい,治りにくい悪習・癖,馬
馬後之蹄,ばごのひづめ,後からの忌まわしい出来事,馬
馬革裹尸,ばかくかし,戦死する覚悟で出陣する,馬
馬牛襟裾,ばぎゅうきんきょ,言行が粗野で礼儀に欠ける,馬
馬鹿果報,ばかかほう,思いがけず大きな幸運,馬
馬鹿正直,ばかしょうじき,融通が利かないほど正直,馬
馬乗之禍,ばじょうのわざわい,交通事故・危険な乗り物での災難,馬
人面獣馬,じんめんじゅうば,表面は人でも心が獣のような人,馬
牛飲馬食,ぎゅういんばしょく,大量に飲み食いする,馬
驢馬之智,ろばのち,愚かな知恵・役に立たない計略,馬
汗馬之労,かんばのろう,戦場での功績・大きな働き,馬
旧馬識途,きゅうばしきと,経験者は道をよく知る・慣れた者は案内となる,馬
竹馬之友,ちくばのとも,幼なじみ,馬
鹿死誰手,しかしたれのて,誰が利益を得るかわからない状況,鹿
犬牙相制,けんがそうせい,小国同士が互いに牽制し合う,犬
猿猴取月,えんこうしゅげつ,不可能なことに無駄な努力をする,猿
猿臂之勢,えんぴのせい,強く引き寄せる勢い・強力な働き,猿
猿公欲捕,えんこうよくとらんとす,失敗を恐れず挑む意志,猿
虎視眈々,こしたんたん,好機をうかがって狙うさま,虎
虎穴虎子,こけつのこし,危険を冒さなければ成果は得られない,虎
虎口余生,ここうよせい,危機から命からがら生還する,虎
画竜点睛,がりょうてんせい,最後の仕上げが決め手になる,竜
臥龍鳳雛,がりゅうほうすう,将来有望な人材が埋もれている,龍
龍驤虎視,りゅうじょうこし,勢い盛んで威圧的に構える,龍
鳥語花香,ちょうごかこう,春の麗らかな景色,鳥
笙鶴在庭,しょうかくていにあり,優れた才能が身近に潜んでいる,鳥